UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned
2022-10-28 09:41:41:142, 4601.417, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0, 0, 0, 1, False, False
2022-10-28 09:41:41:287, 4601.417, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0.01586938, 0, 0.03410003, 1, False, False
2022-10-28 09:41:41:658, 4601.438, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.5886, 0, 0.01586938, 0, 0.002700025, 1, False, False
2022-10-28 09:41:41:707, 4601.486, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.1772, 0, 0, 0, 0.003200025, 1, False, False
2022-10-28 09:41:41:753, 4601.534, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.5696, 0, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:41:800, 4601.581, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.1582, 0, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:41:841, 4601.622, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.5506, 0, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:41:888, 4601.667, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.943, 0, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:41:927, 4601.707, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.335399, 0, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:41:971, 4601.751, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.727799, 0, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:42:014, 4601.794, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -4.120199, 0, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:42:057, 4601.837, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.003442896, -2.888122, -0.008658407, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:42:101, 4601.88, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.006949909, 0.6297502, 0.08496165, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:42:144, 4601.923, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.003892485, 1.864086, 0.07017777, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:42:188, 4601.967, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0007125009, 2.0399, 0.05603573, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:42:231, 4602.01, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001447733, 1.705912, 0.05198008, 0, 0, 0.001300025, 1, False, False
2022-10-28 09:41:42:274, 4602.053, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001447733, 1.313512, 0.05198008, 0, 0, 0.001300025, 1, False, False
