UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned
2022-10-26 10:16:06:573, 5112.352, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.1962, 0, 0, 0, 0, 1, False, False
2022-10-26 10:16:06:712, 5112.352, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.1962, 0, 0.1785611, 0, 0.08550002, 1, False, False
2022-10-26 10:16:07:044, 5112.372, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0.1706264, 0, 0.06670003, 1, False, False
2022-10-26 10:16:07:095, 5112.428, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.981, 0, 0.1706264, 0, -0.0002999747, 1, False, False
2022-10-26 10:16:07:135, 5112.468, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.3734, 0, 0.1706264, 0, -0.0002999747, 1, False, False
2022-10-26 10:16:07:182, 5112.515, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.7658, 0, 0.1706264, 0, -0.0002999747, 1, False, False
2022-10-26 10:16:07:223, 5112.549, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.1582, 0, 0.1706264, 0, -0.0002999747, 1, False, False
2022-10-26 10:16:07:274, 5112.606, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.7468, 0, 0.1706264, 0, -0.0002999747, 1, False, False
2022-10-26 10:16:07:312, 5112.644, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.139199, 0, 0.1706264, 0, -0.0002999747, 1, False, False
2022-10-26 10:16:07:363, 5112.696, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.531599, 0, 0.1706264, 0, -0.0002999747, 1, False, False
2022-10-26 10:16:07:405, 5112.738, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.923999, 0, 0.1706264, 0, -0.0002999747, 1, False, False
2022-10-26 10:16:07:445, 5112.776, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.005383436, -3.678524, -0.01064215, 0.1706264, 0, -0.0002999747, 1, False, False
2022-10-26 10:16:07:487, 5112.813, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.003753717, -1.802251, -0.01060151, 0.1706264, 0, -0.0002999747, 1, False, False
