UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned
2022-10-25 14:15:38:037, 17745.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0, 0, 0, 1, False, False
2022-10-25 14:15:38:176, 17745.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0.2142824, 0, -0.002199975, 1, False, False
2022-10-25 14:15:38:520, 17745.48, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.5886, 0, 0.2142824, 0, -0.002199975, 1, False, False
2022-10-25 14:15:38:567, 17745.53, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.1772, 0, 0.2142824, 0, -0.002199975, 1, False, False
2022-10-25 14:15:38:616, 17745.58, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.5696, 0, 0.2142824, 0, -0.002199975, 1, False, False
2022-10-25 14:15:38:664, 17745.63, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.1582, 0, 0.2142824, 0, -0.002699975, 1, False, False
2022-10-25 14:15:38:712, 17745.67, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.5506, 0, 0.2142824, 0, -0.003299975, 1, False, False
2022-10-25 14:15:38:752, 17745.71, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.943, 0, 0.2142824, 0, -0.007499975, 1, False, False
2022-10-25 14:15:38:795, 17745.76, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.335399, 0, 0.2142824, 0, -0.009999975, 1, False, False
2022-10-25 14:15:38:840, 17745.8, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.923999, 0, 0.2142824, 0, -0.01229997, 1, False, False
2022-10-25 14:15:38:883, 17745.85, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.005495602, -3.678525, -0.01071751, 0.2142824, 0, -0.01229997, 1, False, False
2022-10-25 14:15:38:927, 17745.89, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.003796779, -1.802252, -0.01060452, 0.2142824, 0, -0.01229997, 1, False, False
2022-10-25 14:15:38:970, 17745.93, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.005462553, 0.6339923, 0.07758882, 0.2142824, 0, -0.01339997, 1, False, False
2022-10-25 14:15:39:014, 17745.97, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.002726583, 1.867601, 0.06382316, 0.2142824, 0, -0.01429997, 1, False, False
2022-10-25 14:15:39:057, 17746.02, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0001795189, 2.037896, 0.04945355, 0.2142824, 0, -0.01439997, 1, False, False
2022-10-25 14:15:39:101, 17746.06, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001072868, 1.506244, 0.04539686, 0.2142824, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:145, 17746.11, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001072868, 1.113844, 0.04539686, 0.2142824, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:188, 17746.15, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001072868, 0.7214438, 0.04539686, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:232, 17746.19, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001072868, 0.3290437, 0.04539686, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:276, 17746.24, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001072868, -0.06335625, 0.04539686, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:320, 17746.28, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001072868, -0.6519563, 0.04539686, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:363, 17746.32, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001072868, -1.044356, 0.04539686, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:407, 17746.37, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001072868, -1.436756, 0.04539686, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:450, 17746.41, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.004029774, -1.495493, 0.03689959, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:494, 17746.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001755198, -0.9954768, 0.0415048, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:538, 17746.5, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001520647, -0.3335886, 0.04081563, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:582, 17746.54, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0008100895, 0.4770595, 0.02712852, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:626, 17746.59, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0003155965, 0.7039549, 0.01554862, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:670, 17746.63, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.000333966, 0.6769199, 0.001643047, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:714, 17746.68, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0009235144, 0.4746415, -0.01222849, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:758, 17746.72, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001621585, 0.06663217, -0.02910174, 0.1904631, 0, -0.01539997, 1, False, False
2022-10-25 14:15:39:802, 17746.76, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.00145757, -0.1544315, -0.02762018, 0.1904631, 0, -0.01539997, 1, False, False
