UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned
2022-10-27 14:16:31:909, 19403.34, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0, 0, 0, 1, False, False
2022-10-27 14:16:32:054, 19403.34, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0, 0, -0.1046, 1, False, False
2022-10-27 14:16:32:485, 19403.36, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.5886, 0, 0, 0, -0.1033, 1, False, False
2022-10-27 14:16:32:531, 19403.41, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.1772, 0, 0, 0, -0.08489997, 1, False, False
2022-10-27 14:16:32:577, 19403.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.5696, 0, 0, 0, -0.08489997, 1, False, False
2022-10-27 14:16:32:617, 19403.5, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.962, 0, 0, 0, -0.08479998, 1, False, False
2022-10-27 14:16:32:657, 19403.54, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.3544, 0, 0, 0, -0.08359997, 1, False, False
2022-10-27 14:16:32:701, 19403.58, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.943, 0, 0, 0, -0.08049997, 1, False, False
2022-10-27 14:16:32:744, 19403.62, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.335399, 0, 0, 0, -0.07579997, 1, False, False
2022-10-27 14:16:32:787, 19403.67, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.727799, 0, 0, 0, -0.06929997, 1, False, False
2022-10-27 14:16:32:831, 19403.71, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -4.120199, 0, 0, 0, -0.06339997, 1, False, False
2022-10-27 14:16:32:874, 19403.75, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.003424061, -2.888123, -0.008805218, 0, 0, -0.05809997, 1, False, False
2022-10-27 14:16:32:918, 19403.79, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.006297838, -0.4272078, 0.09395032, 0, 0, -0.05419997, 1, False, False
2022-10-27 14:16:32:961, 19403.84, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.00486862, 1.416843, 0.07752604, 0, 0, -0.05139997, 1, False, False
2022-10-27 14:16:33:005, 19403.88, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0004363362, 2.039903, 0.05591282, 0, 0, -0.04979998, 1, False, False
2022-10-27 14:16:33:048, 19403.93, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0002093475, 1.705911, 0.05188649, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:091, 19403.97, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0002093475, 1.313511, 0.05188649, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:135, 19404.01, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0002093475, 0.9211106, 0.05188649, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:178, 19404.05, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0002093475, 0.5287106, 0.05188649, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:221, 19404.1, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0002093475, 0.1363106, 0.05188649, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:265, 19404.14, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0002093475, -0.4522894, 0.05188649, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:308, 19404.19, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0002093475, -0.8446894, 0.05188649, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:352, 19404.23, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0002093475, -1.237089, 0.05188649, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:395, 19404.27, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.00286316, -1.531356, 0.04713233, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:439, 19404.31, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.005096665, -1.289445, 0.04303297, 0, 0, -0.04969997, 1, False, False
2022-10-27 14:16:33:482, 19404.36, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.004225675, -0.6806605, 0.04404758, 0, 0, -0.04969997, 1, False, False
