UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned
2022-10-26 16:39:49:581, 27981.44, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0, 0, 0, 1, False, False
2022-10-26 16:39:49:718, 27981.44, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0.03570611, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:103, 27981.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.5886, 0, 0.03570611, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:152, 27981.5, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.1772, 0, 0.03967346, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:200, 27981.55, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.5696, 0, 0.03967346, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:249, 27981.6, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.962, 0, 0.03967346, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:287, 27981.64, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.5506, 0, 0.03967346, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:331, 27981.68, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.943, 0, 0.04365606, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:374, 27981.73, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.335399, 0, 0.04762341, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:417, 27981.77, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.727799, 0, 0.05159075, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:461, 27981.81, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -4.120199, 0, 0.0555581, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:504, 27981.86, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.003444528, -2.888121, -0.008642357, 0.05952545, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:548, 27981.9, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.006346517, -0.4272329, 0.09397221, 0.05952545, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:592, 27981.94, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.003883717, 1.864082, 0.07017851, 0.06349279, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:635, 27981.99, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0006979528, 2.039901, 0.0560361, 0.06349279, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:679, 27982.03, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001432068, 1.705915, 0.05198087, 0.06349279, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:722, 27982.07, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001432068, 1.313515, 0.05198087, 0.06349279, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:765, 27982.12, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001432068, 0.9211149, 0.05198087, 0.06349279, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:809, 27982.16, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001432068, 0.3325149, 0.05198087, 0.06349279, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:853, 27982.2, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001432068, -0.05988511, 0.05198087, 0.07142748, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:896, 27982.25, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001432068, -0.4522851, 0.05198087, 0.07142748, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:940, 27982.29, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001432068, -0.8446851, 0.05198087, 0.07142748, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:50:984, 27982.33, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001432068, -1.237085, 0.05198087, 0.07142748, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:028, 27982.38, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.004057563, -1.531355, 0.04722437, 0.07142748, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:072, 27982.42, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.004790318, -1.005647, 0.04396282, 0.07936218, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:115, 27982.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.003542268, -0.3444939, 0.04286988, 0.07936218, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:159, 27982.51, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001983854, 0.2518754, 0.03650267, 0.07936218, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:203, 27982.55, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0004687395, 0.6206626, 0.02592172, 0.07936218, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:246, 27982.6, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001094606, 0.7183747, 0.01268682, 0.07936218, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:291, 27982.64, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.002233143, 0.4792029, -0.009794358, 0.07936218, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:336, 27982.68, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.002118714, 0.2060769, -0.02325841, 0.07936218, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:378, 27982.73, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001586153, -0.049742, -0.02921697, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:422, 27982.77, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0006924117, -0.2266326, -0.02523759, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:466, 27982.82, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0003266217, -0.2973996, -0.01483059, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:510, 27982.86, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001303745, -0.2258234, 0.003222409, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:554, 27982.9, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001453057, -0.1114466, 0.01274168, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:598, 27982.95, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001154733, 0.003953442, 0.01714075, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:643, 27982.99, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0006260025, 0.08686019, 0.01653591, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:687, 27983.04, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 4.109365E-05, 0.1236905, 0.01200001, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:731, 27983.08, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.000607351, 0.101449, 0.001738663, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:775, 27983.13, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0007562095, 0.05787529, -0.00448927, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:820, 27983.17, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0007061205, 0.01096228, -0.008508724, 0.08729687, 0, 0.0006000252, 1, False, False
2022-10-26 16:39:51:864, 27983.21, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0005057874, -0.02651282, -0.009836112, 0.08729687, 0, 0.0006000252, 1, False, False
